condition,quantity,model,index,x_he,y,yerr
800_7000,mu_he,MACE,0,0.984375,-0.00434346623,0.000151441131
800_7000,mu_he,MACE,1,0.953125,-0.0130260831,0.000538877584
800_7000,mu_he,MACE,2,0.921875,-0.0206584314,0.000626790793
800_7000,mu_he,MACE,3,0.859375,-0.0301029115,0.000726730643
800_7000,mu_he,MACE,4,0.796875,-0.0332639708,0.000710277137
800_7000,mu_he,MACE,5,0.734375,-0.0336250309,0.000659682229
800_7000,mu_he,MACE,6,0.609375,-0.0337117458,0.000618326558
800_7000,mu_he,MACE,7,0.546875,-0.0337117472,0.000572460918
800_7000,mu_he,MACE,8,0.484375,-0.0337117474,0.000535486833
800_7000,mu_he,MACE,9,0.453125,-0.0337117472,0.000504861974
800_7000,mu_he,MACE,10,0.421875,-0.0337117477,0.000478954117
800_7000,mu_he,MACE,11,0.390625,-0.033711747,0.000456664892
800_7000,mu_he,MACE,12,0.359375,-0.0337117478,0.000437223448
800_7000,mu_he,MACE,13,0.328125,-0.0337117484,0.000420070728
800_7000,mu_he,MACE,14,0.296875,-0.0337117475,0.00040479027
800_7000,mu_he,MACE,15,0.265625,-0.0337117473,0.000391065003
800_7000,mu_he,MACE,16,0.234375,-0.0337117476,0.000378647754
800_7000,mu_he,MACE,17,0.21875,-0.0337117477,0.000367341292
800_7000,mu_he,MACE,18,0.203125,-0.0337117484,0.000356992619
800_7000,mu_he,MACE,19,0.1875,-0.033711744,0.000347469976
800_7000,mu_he,MACE,20,0.171875,-0.0344443893,0.000358142267
800_7000,mu_he,MACE,21,0.15625,-0.0363669355,0.00038505871
800_7000,mu_he,MACE,22,0.140625,-0.0407986408,0.000434528461
800_7000,mu_he,MACE,23,0.109375,-0.0679041862,0.000964219162
800_7000,mu_he,MACE,24,0.078125,-0.143462216,0.00184614056
800_7000,mu_he,MACE,25,0.046875,-0.317615578,0.00297593776
800_7000,mu_he,MACE,26,0.015625,-0.822849588,0.00677919883
800_7000,mu_h,MACE,0,0.984375,-0.556504046,0.0249518586
800_7000,mu_h,MACE,1,0.953125,-0.260825538,0.0117581211
800_7000,mu_h,MACE,2,0.921875,-0.143872224,0.00454856555
800_7000,mu_h,MACE,3,0.859375,-0.0647981821,0.00191414601
800_7000,mu_h,MACE,4,0.796875,-0.0494036987,0.00126366286
800_7000,mu_h,MACE,5,0.734375,-0.0482178422,0.00105014576
800_7000,mu_h,MACE,6,0.609375,-0.048038601,0.000925325409
800_7000,mu_h,MACE,7,0.546875,-0.0480385999,0.000856683734
800_7000,mu_h,MACE,8,0.484375,-0.0480386004,0.000801354205
800_7000,mu_h,MACE,9,0.453125,-0.0480386014,0.000755523917
800_7000,mu_h,MACE,10,0.421875,-0.0480386002,0.000716752988
800_7000,mu_h,MACE,11,0.390625,-0.0480386016,0.000683397098
800_7000,mu_h,MACE,12,0.359375,-0.0480386022,0.000654302917
800_7000,mu_h,MACE,13,0.328125,-0.0480386033,0.000628633871
800_7000,mu_h,MACE,14,0.296875,-0.0480386041,0.000605767121
800_7000,mu_h,MACE,15,0.265625,-0.0480386,0.000585226225
800_7000,mu_h,MACE,16,0.234375,-0.0480385995,0.000566643244
800_7000,mu_h,MACE,17,0.21875,-0.0480386034,0.00054972443
800_7000,mu_h,MACE,18,0.203125,-0.0480385995,0.00053423596
800_7000,mu_h,MACE,19,0.1875,-0.0480385998,0.000519987085
800_7000,mu_h,MACE,20,0.171875,-0.0478782126,0.000502558357
800_7000,mu_h,MACE,21,0.15625,-0.0475011676,0.000483475147
800_7000,mu_h,MACE,22,0.140625,-0.0467293616,0.000462202016
800_7000,mu_h,MACE,23,0.109375,-0.0428769837,0.000375404942
800_7000,mu_h,MACE,24,0.078125,-0.0351327849,0.000275027143
800_7000,mu_h,MACE,25,0.046875,-0.0237675579,0.000193270403
800_7000,mu_h,MACE,26,0.015625,-0.00893130923,7.61520297e-05
150_5000,gmix_fep,FEP_vdW-DF,0,0.015625,-0.0112257329,0.0027491972
150_5000,gmix_fep,FEP_vdW-DF,1,0.046875,-0.026221805,0.0028377799
150_5000,gmix_fep,FEP_vdW-DF,2,0.109375,-0.0342327639,0.0028336312
150_5000,gmix_fep,FEP_vdW-DF,3,0.203125,-0.0411813056,0.0034457255
150_5000,gmix_fep,FEP_vdW-DF,4,0.296875,-0.0454016519,0.0031688664
150_5000,gmix_fep,FEP_vdW-DF,5,0.390625,-0.0513379523,0.0034997681
150_5000,gmix_fep,FEP_vdW-DF,6,0.546875,-0.0627020478,0.0039171098
150_5000,gmix_fep,FEP_vdW-DF,7,0.609375,-0.0659970977,0.0034687725
150_5000,gmix_fep,FEP_vdW-DF,8,0.734375,-0.0677494681,0.0034335785
150_5000,gmix_fep,FEP_vdW-DF,9,0.796875,-0.0630843379,0.0033009023
150_5000,gmix_fep,FEP_vdW-DF,10,0.921875,-0.0392619213,0.0033546196
150_5000,gmix_fep,FEP_vdW-DF,11,0.984375,-0.0107944428,0.0032240152
800_7000,gmix_fep,FEP_vdW-DF,0,0.015625,-0.015108059,0.0056801752
800_7000,gmix_fep,FEP_vdW-DF,1,0.046875,-0.0336575685,0.0053894964
800_7000,gmix_fep,FEP_vdW-DF,2,0.109375,-0.0475735397,0.005027364
800_7000,gmix_fep,FEP_vdW-DF,3,0.203125,-0.0483859507,0.0057163893
800_7000,gmix_fep,FEP_vdW-DF,4,0.296875,-0.0439921661,0.0063652371
800_7000,gmix_fep,FEP_vdW-DF,5,0.390625,-0.0413104621,0.0063464809
800_7000,gmix_fep,FEP_vdW-DF,6,0.546875,-0.0366445793,0.0065019158
800_7000,gmix_fep,FEP_vdW-DF,7,0.609375,-0.0347536662,0.0067729382
800_7000,gmix_fep,FEP_vdW-DF,8,0.734375,-0.0295645545,0.0058688028
800_7000,gmix_fep,FEP_vdW-DF,9,0.796875,-0.029652578,0.0064468191
800_7000,gmix_fep,FEP_vdW-DF,10,0.921875,-0.0253689641,0.0063036151
