condition,quantity,model,index,x_he,y,yerr
150_5000,integrand_he,N2P2,7,0.484375,0.05200299,0.0038837
150_5000,integrand_he,N2P2,8,0.453125,0.05962405,0.00274254
150_5000,integrand_he,N2P2,9,0.421875,0.04186442,0.00358933
150_5000,integrand_he,N2P2,10,0.390625,0.01931233,0.0097496
150_5000,integrand_he,N2P2,11,0.359375,0.0275946,0.00263423
150_5000,integrand_he,N2P2,12,0.328125,0.03850089,0.00313248
150_5000,integrand_he,N2P2,13,0.296875,0.03059698,0.00475969
150_5000,integrand_he,N2P2,14,0.234375,0.05360985,0.0067014
150_5000,integrand_he,N2P2,15,0.21875,0.06013193,0.00678011
150_5000,integrand_he,N2P2,16,0.203125,0.06271631,0.00482729
150_5000,integrand_he,N2P2,17,0.1875,0.08614796,0.00430695
150_5000,integrand_he,N2P2,18,0.171875,0.06317966,0.00534134
150_5000,integrand_he,N2P2,19,0.15625,0.08979126,0.00991544
150_5000,integrand_he,N2P2,20,0.140625,0.11517089,0.01661506
150_5000,integrand_he,N2P2,21,0.109375,0.19788235,0.0140979
150_5000,integrand_he,N2P2,22,0.078125,0.33938458,0.02201461
150_5000,integrand_he,N2P2,23,0.046875,0.47214524,0.05294639
150_5000,integrand_he,N2P2,24,0.015625,0.69894724,0.12253343
150_5000,mu_he,N2P2,0,0.984375,-0.00334405498,0.000125352617
150_5000,mu_he,N2P2,1,0.953125,-0.010347868,0.000412619408
150_5000,mu_he,N2P2,2,0.921875,-0.0174173872,0.000496476949
150_5000,mu_he,N2P2,3,0.796875,-0.0414564598,0.000989177691
150_5000,mu_he,N2P2,4,0.734375,-0.0504628016,0.00108556442
150_5000,mu_he,N2P2,5,0.609375,-0.0647615541,0.00136024057
150_5000,mu_he,N2P2,6,0.546875,-0.0703524092,0.00141109519
150_5000,mu_he,N2P2,7,0.484375,-0.0744180079,0.00144237627
150_5000,mu_he,N2P2,8,0.453125,-0.0760300769,0.00139941442
150_5000,mu_he,N2P2,9,0.421875,-0.0776005062,0.00136829918
150_5000,mu_he,N2P2,10,0.390625,-0.0786200392,0.00137278291
150_5000,mu_he,N2P2,11,0.359375,-0.0794669542,0.00137838532
150_5000,mu_he,N2P2,12,0.328125,-0.0807690114,0.00136800884
150_5000,mu_he,N2P2,13,0.296875,-0.0822665458,0.00137950684
150_5000,mu_he,N2P2,14,0.234375,-0.0865769596,0.00153228555
150_5000,mu_he,N2P2,15,0.21875,-0.0882762356,0.00154693827
150_5000,mu_he,N2P2,16,0.203125,-0.090247624,0.00155733985
150_5000,mu_he,N2P2,17,0.1875,-0.0928278465,0.00156066893
150_5000,mu_he,N2P2,18,0.171875,-0.0956414202,0.00157034359
150_5000,mu_he,N2P2,19,0.15625,-0.0987990488,0.00161032713
150_5000,mu_he,N2P2,20,0.140625,-0.103474812,0.00171129804
150_5000,mu_he,N2P2,21,0.109375,-0.120511173,0.00202203098
150_5000,mu_he,N2P2,22,0.078125,-0.159656969,0.00247077864
150_5000,mu_he,N2P2,23,0.046875,-0.249425077,0.00357400698
150_5000,mu_he,N2P2,24,0.015625,-0.528024697,0.00634968002
150_5000,mu_h,N2P2,0,0.984375,-0.61168677,0.0279538685
150_5000,mu_h,N2P2,1,0.953125,-0.373178321,0.0181715463
150_5000,mu_h,N2P2,2,0.921875,-0.264850632,0.00971235327
150_5000,mu_h,N2P2,3,0.796875,-0.107212651,0.00410176426
150_5000,mu_h,N2P2,4,0.734375,-0.0776324267,0.00280039074
150_5000,mu_h,N2P2,5,0.609375,-0.0480778516,0.00170012663
150_5000,mu_h,N2P2,6,0.546875,-0.0404096408,0.00131970025
150_5000,mu_h,N2P2,7,0.484375,-0.0360809698,0.00107705587
150_5000,mu_h,N2P2,8,0.453125,-0.0346586851,0.000963204959
150_5000,mu_h,N2P2,9,0.421875,-0.0334376578,0.000870077554
150_5000,mu_h,N2P2,10,0.390625,-0.0327400505,0.000774364827
150_5000,mu_h,N2P2,11,0.359375,-0.0322320721,0.000696618456
150_5000,mu_h,N2P2,12,0.328125,-0.031550399,0.000641670601
150_5000,mu_h,N2P2,13,0.296875,-0.0308701621,0.000586895241
150_5000,mu_h,N2P2,14,0.234375,-0.0293173542,0.000492431309
150_5000,mu_h,N2P2,15,0.21875,-0.0288197612,0.000456229318
150_5000,mu_h,N2P2,16,0.203125,-0.0282929717,0.000425838081
150_5000,mu_h,N2P2,17,0.1875,-0.0276670187,0.000401034109
150_5000,mu_h,N2P2,18,0.171875,-0.0270510786,0.000377991211
150_5000,mu_h,N2P2,19,0.15625,-0.0264319046,0.000351853793
150_5000,mu_h,N2P2,20,0.140625,-0.0256175121,0.000318248368
150_5000,mu_h,N2P2,21,0.109375,-0.0231961974,0.000260561777
150_5000,mu_h,N2P2,22,0.078125,-0.0191840218,0.000203806236
150_5000,mu_h,N2P2,23,0.046875,-0.0133257671,0.000123790023
150_5000,mu_h,N2P2,24,0.015625,-0.0051446622,3.74656743e-05
150_5000,integrand_he,MACE,0,0.984375,0.52568982,0.11662215
