pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHH,vdW-DF,0.5,1000,64.0,2.5635,0.3767553125
gHH,vdW-DF,0.5,1000,64.0,2.5925,0.3435360588235
gHH,vdW-DF,0.5,1000,64.0,2.6215,0.3075197058824
gHH,vdW-DF,0.5,1000,64.0,2.6505,0.2727008235294
gHH,vdW-DF,0.5,1000,64.0,2.6795,0.2487006875
gHH,vdW-DF,0.5,1000,64.0,2.7085,0.2202085294118
gHH,vdW-DF,0.5,1000,64.0,2.7375,0.1963202941176
gHH,vdW-DF,0.5,1000,64.0,2.7665,0.173801
gHH,vdW-DF,0.5,1000,64.0,2.7955,0.153421875
gHH,vdW-DF,0.5,1000,64.0,2.8245,0.1342922941176
gHH,vdW-DF,0.5,1000,64.0,2.8535,0.1166912941176
gHH,vdW-DF,0.5,1000,64.0,2.8825,0.1014552705882
gHH,vdW-DF,0.5,1000,64.0,2.9115,0.08671500625
gHH,vdW-DF,0.5,1000,64.0,2.9405,0.07647661764706
gHH,vdW-DF,0.5,1000,64.0,2.9695,0.06121353529412
gHH,vdW-DF,0.5,1000,64.0,2.9985,0.05194971111111
gHH,vdW-DF,0.5,1000,64.0,3.0275,nan
gHH,vdW-DF,0.5,1000,64.0,3.0565,nan
gHH,vdW-DF,0.5,1000,64.0,3.0855,nan
gHH,vdW-DF,0.5,1000,64.0,3.1145,nan
gHH,vdW-DF,0.5,1000,64.0,3.1435,nan
gHH,vdW-DF,0.5,1000,64.0,3.1725,nan
gHH,vdW-DF,0.5,1000,64.0,3.2015,nan
gHH,vdW-DF,0.5,1000,64.0,3.2305,nan
gHH,vdW-DF,0.5,1000,64.0,3.2595,nan
gHH,vdW-DF,0.5,1000,64.0,3.2885,nan
gHH,vdW-DF,0.5,1000,64.0,3.3175,nan
gHH,vdW-DF,0.5,1000,64.0,3.3465,nan
gHH,vdW-DF,0.5,1000,64.0,3.3755,nan
gHH,vdW-DF,0.5,1000,64.0,3.4045,nan
gHH,vdW-DF,0.5,1000,64.0,3.4335,nan
gHH,vdW-DF,0.5,1000,64.0,3.4625,nan
gHH,vdW-DF,0.5,1000,64.0,3.4915,nan
gHH,vdW-DF,0.5,1000,64.0,3.5205,nan
gHH,vdW-DF,0.5,1000,64.0,3.5495,nan
gHH,vdW-DF,0.5,1000,64.0,3.5785,nan
gHH,vdW-DF,0.5,1000,64.0,3.6075,nan
gHH,vdW-DF,0.5,1000,64.0,3.6365,nan
gHH,vdW-DF,0.5,1000,64.0,3.6655,nan
gHH,vdW-DF,0.5,1000,64.0,3.6945,nan
gHH,vdW-DF,0.5,1000,64.0,3.7235,nan
gHH,vdW-DF,0.5,1000,64.0,3.7525,nan
gHH,vdW-DF,0.5,1000,64.0,3.7815,nan
gHH,vdW-DF,0.5,1000,64.0,3.8105,nan
gHH,vdW-DF,0.5,1000,64.0,3.8395,nan
gHH,vdW-DF,0.5,1000,64.0,3.8685,nan
gHH,vdW-DF,0.5,1000,64.0,3.8975,nan
gHH,vdW-DF,0.5,1000,64.0,3.9265,nan
gHH,vdW-DF,0.5,1000,64.0,3.9555,nan
gHH,vdW-DF,0.5,1000,64.0,3.9845,nan
gHH,vdW-DF,0.5,1000,64.0,4.0135,nan
gHH,vdW-DF,0.5,1000,64.0,4.0425,nan
gHH,vdW-DF,0.5,1000,64.0,4.0715,nan
gHH,vdW-DF,0.5,1000,64.0,4.1005,nan
gHH,vdW-DF,0.5,1000,64.0,4.1295,nan
gHH,vdW-DF,0.5,1000,64.0,4.1585,nan
gHH,vdW-DF,0.5,1000,64.0,4.1875,nan
gHH,vdW-DF,0.5,1000,64.0,4.2165,nan
gHH,vdW-DF,0.5,1000,64.0,4.2455,nan
gHH,vdW-DF,0.5,1000,64.0,4.2745,nan
gHH,vdW-DF,0.5,1000,64.0,4.3035,nan
gHH,vdW-DF,0.5,1000,64.0,4.3325,nan
