#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
1	5000	3.1875	2.06921	2.39012
1	5000	3.15625	2.1145	2.422
1	5000	2.32208	4.1113	3.62814
1	5000	2.3125	4.15199	3.65282
1	5000	2.28125	4.27583	3.71996
1	5000	1.91285	6.26996	4.72678
1	5000	1.68368	8.27195	5.62804
1	5000	1.53125	10.141	6.39187
1	5000	1.5	10.5945	6.56909
1	5000	1.38185	12.6333	7.33526
1	5000	1.28757	14.69	8.05831
1	5000	1.21019	16.7457	8.74116
1	5000	1.14539	18.6783	9.28148
1	5000	1.0903	20.8427	9.99498
1	5000	1.04292	22.583	10.3378
1	5000	1.03125	23.1349	10.4969
1	5000	1	24.6893	10.9283
0	6000	5	0.308746	-2.10514
0	6000	4.22756	0.416636	-1.97737
0	6000	2.72006	1.00595	-1.58703
0	6000	1.9375	2.0959	-1.11012
0	6000	1.92188	2.13297	-1.0959
0	6000	1.42187	4.10369	-0.406931
0	6000	1.40625	4.20839	-0.370662
0	6000	1.375	4.41537	-0.308748
0	6000	1.32813	4.75441	-0.203664
0	6000	1.3125	4.87607	-0.165535
0	6000	1.25	5.41024	-0.00804885
0	6000	1.1875	6.04225	0.176196
0	6000	1.125	6.77619	0.379923
0	6000	1.0625	7.65172	0.615803
0	6000	1	8.69816	0.886073
0	6000	0.9375	9.95897	1.19691
0	6000	0.921875	10.318	1.28218
0	6000	0.875	11.4988	1.55669
0	6000	0.8125	13.4118	1.98003
0	6000	0.759387	15.4222	2.40275
0	6000	0.75	15.8193	2.48209
0	6000	0.707484	17.8306	2.88069
0	6000	0.6875	18.9062	3.08468
0	6000	0.654156	20.91	3.45548
0	6000	0.625356	22.9199	3.81493
0	6000	0.625	22.9454	3.81884
0	6000	0.622702	22.9805	3.81574
0	6000	0.609375	24.1506	4.02688
0	6000	0.59375	25.4555	4.24787
0	6000	0.578125	26.853	4.47754
0	6000	0.5625	28.382	4.72573
0	6000	0.53125	31.835	5.26498
0	6000	0.5	35.9288	5.87129
0	6000	0.46875	40.8615	6.56495
0	6000	0.4375	46.8506	7.35506
0	6000	0.375	63.5533	9.3514
0	6000	0.34375	75.4233	10.6205
0	6000	0.3125	90.9827	12.1503
0	6000	0.28125	111.948	14.0186
0.03125	6000	5.07937	0.309477	-2.06899
0.03125	6000	4.34054	0.412309	-1.94573
0.03125	6000	2.7929	0.980792	-1.54079
0.03125	6000	1.96825	2.08265	-1.04147
0.03125	6000	1.95238	2.1183	-1.02703
0.03125	6000	1.42182	4.20979	-0.284978
0.03125	6000	1.17718	6.30645	0.351361
0.03125	6000	1.02861	8.39125	0.918444
0.03125	6000	0.926044	10.4545	1.4301
0.03125	6000	0.849705	12.5021	1.90283
0.03125	6000	0.789994	14.5362	2.34797
0.03125	6000	0.741617	16.5473	2.76214
0.03125	6000	0.701373	18.5608	3.15879
0.03125	6000	0.667205	20.5383	3.53173
0.03125	6000	0.637714	22.5143	3.88964
0.0625	6000	5.16129	0.305301	-2.02541
0.0625	6000	4.52361	0.394686	-1.92377
0.0625	6000	2.73566	1.05926	-1.43791
0.0625	6000	1.98387	2.10365	-0.956474
0.0625	6000	1.96774	2.14378	-0.941361
0.0625	6000	1.48013	3.96339	-0.271911
0.0625	6000	1.24853	5.69911	0.273895
0.0625	6000	1.1054	7.38484	0.758031
0.0625	6000	1.00533	9.01198	1.19027
0.0625	6000	0.930123	10.604	1.58655
0.0625	6000	0.870827	12.1576	1.94804
0.0625	6000	0.822458	13.6833	2.2913
0.0625	6000	0.781984	15.1879	2.61755
0.0625	6000	0.747439	16.6626	2.92262
0.0625	6000	0.717485	18.1139	3.21172
0.09375	6000	5.2459	0.309161	-1.96903
0.09375	6000	4.535	0.398901	-1.84976
0.09375	6000	2.86425	0.991166	-1.4154
0.09375	6000	2.01639	2.09192	-0.887082
0.09375	6000	2	2.12814	-0.870245
0.09375	6000	1.45945	4.19208	-0.105484
0.09375	6000	1.20948	6.2502	0.540159
0.09375	6000	1.05747	8.30399	1.11536
0.09375	6000	0.952431	10.3345	1.638
0.09375	6000	0.874208	12.3524	2.12209
0.09375	6000	0.813	14.353	2.57133
0.09375	6000	0.76339	16.3289	2.98979
0.09375	6000	0.722111	18.2964	3.38892
0.09375	6000	0.687052	20.2504	3.76888
0.09375	6000	0.656789	22.1937	4.1318
0.125	6000	5.33333	0.310833	-1.92912
0.125	6000	4.59923	0.405099	-1.80964
0.125	6000	2.89678	1.001	-1.34869
0.125	6000	2.03333	2.11422	-0.798064
0.125	6000	2.01667	2.15215	-0.78057
0.125	6000	1.5	4.05827	-0.0597375
0.125	6000	1.48333	4.16102	-0.0172525
0.125	6000	1.46667	4.25688	0.00982126
0.125	6000	1.4	4.69627	0.155104
0.125	6000	1.38333	4.82646	0.201397
0.125	6000	1.33333	5.21901	0.328514
0.125	6000	1.26667	5.81691	0.516379
0.125	6000	1.2	6.51911	0.724838
0.125	6000	1.13333	7.35989	0.967485
0.125	6000	1.06667	8.36235	1.24803
0.125	6000	1	9.56763	1.56282
0.125	6000	0.983333	9.92701	1.66533
0.125	6000	0.966667	10.2739	1.74638
0.125	6000	0.933333	11.0461	1.9356
0.125	6000	0.866667	12.8828	2.37203
0.125	6000	0.808103	14.8783	2.81945
0.125	6000	0.8	15.1906	2.88693
0.125	6000	0.753232	17.1902	3.31006
0.125	6000	0.733333	18.1569	3.50935
0.125	6000	0.696668	20.1553	3.90043
0.125	6000	0.666667	22.0341	4.25402
0.125	6000	0.65	23.195	4.46902
0.125	6000	0.633333	24.4571	4.69915
0.125	6000	0.616667	25.7991	4.93298
0.125	6000	0.6	27.2699	5.18855
0.125	6000	0.566667	30.5863	5.73933
0.125	6000	0.533333	34.5452	6.36301
0.125	6000	0.5	39.2944	7.07465
0.125	6000	0.466667	45.0842	7.89065
0.125	6000	0.4	61.1923	9.94084
0.125	6000	0.366667	72.6611	11.25
0.125	6000	0.333333	87.6859	12.8246
0.125	6000	0.3	107.915	14.7461
0.15625	6000	5.42373	0.302142	-1.8782
0.15625	6000	4.7492	0.392964	-1.79017
0.15625	6000	2.93931	1.00324	-1.2885
0.15625	6000	2.0678	2.09853	-0.727191
0.15625	6000	2.05085	2.13525	-0.711763
0.15625	6000	1.49877	4.17436	0.0754055
0.15625	6000	1.24293	6.21017	0.73941
0.15625	6000	1.08719	8.23848	1.32608
0.15625	6000	0.979514	10.2382	1.86037
0.15625	6000	0.899292	12.2233	2.34437
0.15625	6000	0.836498	14.2014	2.8094
0.15625	6000	0.785592	16.1487	3.23105
0.15625	6000	0.743222	18.096	3.63951
0.15625	6000	0.707231	20.0178	4.02557
0.15625	6000	0.676158	21.928	4.3911
0.1875	6000	5.51724	0.303571	-1.82966
0.21875	6000	5.61404	0.302926	-1.78098
0.21875	6000	4.8677	0.396706	-1.67168
0.21875	6000	3.0033	1.02073	-1.14736
0.21875	6000	2.12281	2.10518	-0.565418
0.21875	6000	2.10526	2.143	-0.546579
0.21875	6000	1.54832	4.11564	0.249732
0.21875	6000	1.28862	6.07383	0.912101
0.21875	6000	1.12998	8.00115	1.49722
0.21875	6000	1.02003	9.90922	2.02328
0.21875	6000	0.937956	11.7864	2.50556
0.21875	6000	0.873612	13.6562	2.9564
0.21875	6000	0.821379	15.4975	3.37991
0.21875	6000	0.777858	17.3293	3.77792
0.21875	6000	0.740853	19.1412	4.16008
0.21875	6000	0.708874	20.9368	4.51917
0.25	6000	5.71429	0.303882	-1.76386
0.25	6000	4.96125	0.393391	-1.62747
0.25	6000	3.08054	1.00036	-1.09189
0.25	6000	2.16071	2.09028	-0.488588
0.25	6000	2.14286	2.12751	-0.471192
0.25	6000	1.57143	4.10109	0.339312
0.25	6000	1.55357	4.2092	0.3874
0.25	6000	1.5	4.53168	0.494939
0.25	6000	1.48214	4.64133	0.54007
0.25	6000	1.42857	5.01912	0.66944
0.25	6000	1.35714	5.59773	0.867129
0.25	6000	1.28571	6.26676	1.08454
0.25	6000	1.21429	7.06996	1.33636
0.25	6000	1.14286	8.02542	1.62052
0.25	6000	1.07143	9.18482	1.95112
0.25	6000	1.03571	9.8541	2.13733
0.25	6000	1.01786	10.2151	2.23496
0.25	6000	1	10.6053	2.33565
0.25	6000	0.928571	12.3583	2.77962
0.25	6000	0.863555	14.3491	3.26037
0.25	6000	0.857143	14.575	3.3145
0.25	6000	0.805189	16.5683	3.76668
0.25	6000	0.785714	17.4212	3.9537
0.25	6000	0.745061	19.4223	4.37747
0.25	6000	0.714286	21.1581	4.72594
0.25	6000	0.68323	23.1473	5.11625
0.25	6000	0.678571	23.4724	5.17606
0.25	6000	0.660714	24.7803	5.42753
0.25	6000	0.642857	26.1917	5.68737
0.25	6000	0.607143	29.3929	6.25541
0.25	6000	0.571429	33.1987	6.89998
0.25	6000	0.535714	37.7748	7.63215
0.25	6000	0.5	43.3624	8.47613
0.25	6000	0.428571	58.8964	10.5868
0.25	6000	0.392857	69.9691	11.9444
0.25	6000	0.357143	84.4621	13.5657
0.25	6000	0.321429	103.977	15.5557
0.28125	6000	5.81818	0.302532	-1.68246
0.28125	6000	4.95196	0.404369	-1.55015
0.28125	6000	3.14991	0.982518	-1.03865
0.28125	6000	2.18182	2.11076	-0.395868
0.28125	6000	2.16364	2.147	-0.378762
0.28125	6000	1.56548	4.25622	0.500615
0.28125	6000	1.29011	6.40067	1.24502
0.28125	6000	1.12329	8.55525	1.89998
0.28125	6000	1.00839	10.7014	2.48785
0.28125	6000	0.923042	12.8499	3.04307
0.28125	6000	0.856411	14.9964	3.55916
0.28125	6000	0.802516	17.1319	4.04591
0.28125	6000	0.757749	19.2571	4.49924
0.28125	6000	0.719791	21.3852	4.93715
0.28125	6000	0.687069	23.499	5.356
0.3125	6000	5.92593	0.294787	-1.62334
0.3125	6000	5.16652	0.386278	-1.50281
0.3125	6000	3.16509	1.00519	-0.952413
0.3125	6000	2.22222	2.09215	-0.319646
0.3125	6000	2.2037	2.12892	-0.301698
0.3125	6000	1.60445	4.16366	0.568716
0.3125	6000	1.3278	6.20095	1.29382
0.3125	6000	1.15976	8.22949	1.92796
0.3125	6000	1.04376	10.2412	2.5026
0.3125	6000	0.95742	12.2498	3.03957
0.3125	6000	0.889906	14.2423	3.53127
0.3125	6000	0.835209	16.2207	3.99723
0.3125	6000	0.789719	18.1849	4.43547
0.3125	6000	0.751098	20.1407	4.85293
0.3125	6000	0.71777	22.0917	5.25481
0.34375	6000	6.03774	0.297875	-1.58318
0.34375	6000	5.12545	0.407488	-1.439
0.34375	6000	3.20011	1.01835	-0.875363
0.34375	6000	2.24528	2.11192	-0.224732
0.34375	6000	2.22642	2.14986	-0.206907
0.34375	6000	1.63013	4.1397	0.662294
0.34375	6000	1.35285	6.13445	1.38748
0.34375	6000	1.18382	8.10917	2.02029
0.34375	6000	1.06687	10.0702	2.59178
0.34375	6000	0.979683	12.0092	3.12265
0.34375	6000	0.911415	13.9387	3.611
0.34375	6000	0.856053	15.8581	4.07681
0.34375	6000	0.809968	17.7547	4.50278
0.34375	6000	0.770811	19.6411	4.91672
0.34375	6000	0.737	21.5255	5.31076
0.375	6000	6.15385	0.292748	-1.48355
0.375	6000	5.27421	0.393801	-1.34338
0.375	6000	3.26415	1.00754	-0.801663
0.375	6000	2.28846	2.09345	-0.143814
0.375	6000	2.26923	2.1302	-0.126672
0.375	6000	1.69231	3.94736	0.695511
0.375	6000	1.65385	4.14675	0.769192
0.375	6000	1.63462	4.24942	0.818976
0.375	6000	1.61538	4.3523	0.851592
0.375	6000	1.55769	4.69876	0.991339
0.375	6000	1.53846	4.82601	1.03508
0.375	6000	1.46154	5.36826	1.235
0.375	6000	1.38462	6.01572	1.46573
0.375	6000	1.30769	6.78717	1.72844
0.375	6000	1.23077	7.70048	2.02302
0.375	6000	1.15385	8.80472	2.36179
0.375	6000	1.07692	10.1676	2.76251
0.375	6000	1.05769	10.5676	2.88731
0.375	6000	1	11.8537	3.22712
0.375	6000	0.927075	13.8514	3.73956
0.375	6000	0.923077	13.9727	3.77037
0.375	6000	0.864998	15.9682	4.25859
0.375	6000	0.846154	16.702	4.4295
0.375	6000	0.800783	18.6986	4.88441
0.375	6000	0.769231	20.2957	5.23123
0.375	6000	0.734544	22.2866	5.65421
0.375	6000	0.711538	23.7793	5.96023
0.375	6000	0.692308	25.1409	6.22591
0.375	6000	0.653846	28.2116	6.81148
0.375	6000	0.615385	31.8756	7.4836
0.375	6000	0.576923	36.2907	8.23931
0.375	6000	0.538462	41.6793	9.11455
0.375	6000	0.461538	56.6529	11.305
0.375	6000	0.423077	67.3376	12.7068
0.375	6000	0.384615	81.3197	14.3944
0.375	6000	0.346154	100.143	16.4602
0.40625	6000	6.27451	0.288479	-1.4341
0.40625	6000	5.24853	0.414089	-1.30454
0.40625	6000	3.34265	0.988008	-0.743596
0.40625	6000	2.31373	2.11294	-0.0448654
0.40625	6000	2.29412	2.14982	-0.0239899
0.40625	6000	1.66014	4.23525	0.913681
0.40625	6000	1.36814	6.36096	1.70862
0.40625	6000	1.19121	8.48714	2.39859
0.40625	6000	1.06934	10.6172	3.03035
0.40625	6000	0.978814	12.7478	3.61601
0.40625	6000	0.908139	14.8726	4.15652
0.40625	6000	0.850971	17.0043	4.66801
0.40625	6000	0.803486	19.1114	5.15397
0.40625	6000	0.763224	21.2255	5.62343
0.40625	6000	0.728516	23.3295	6.05122
0.4375	6000	6.4	0.290654	-1.36638
0.4375	6000	5.40612	0.399634	-1.22659
0.4375	6000	3.28068	1.06104	-0.622423
0.4375	6000	2.36	2.09192	0.0347316
0.4375	6000	2.34	2.12966	0.0556809
0.4375	6000	1.7413	3.95548	0.910174
0.4375	6000	1.45971	5.72963	1.60416
0.4375	6000	1.28675	7.45327	2.20385
0.4375	6000	1.16635	9.14152	2.74075
0.4375	6000	1.07616	10.8001	3.22779
0.4375	6000	1.00525	12.4357	3.68391
0.4375	6000	0.947534	14.0465	4.10798
0.4375	6000	0.899334	15.6368	4.51056
0.4375	6000	0.858268	17.2167	4.89138
0.4375	6000	0.822714	18.7668	5.25378
0.46875	6000	6.53061	0.281675	-1.26422
0.46875	6000	5.54239	0.392097	-1.16811
0.46875	6000	3.35516	1.04679	-0.547689
0.46875	6000	2.38776	2.10892	0.137039
0.46875	6000	2.36735	2.149	0.162165
0.46875	6000	1.75397	4.02653	1.0516
0.46875	6000	1.466	5.86157	1.78093
0.46875	6000	1.28939	7.65545	2.39995
0.46875	6000	1.16663	9.43257	2.97404
0.46875	6000	1.07479	11.169	3.49008
0.46875	6000	1.00266	12.8942	3.9694
0.46875	6000	0.94401	14.5897	4.41613
0.46875	6000	0.89508	16.2801	4.83523
0.46875	6000	0.853424	17.9513	5.25368
0.46875	6000	0.81739	19.6031	5.63038
0.5	6000	6.66667	0.283104	-1.22321
0.5	6000	5.59254	0.390062	-1.0471
0.5	6000	3.50681	0.995354	-0.524885
0.5	6000	2.4375	2.09018	0.221931
0.5	6000	2.41667	2.12612	0.243439
0.5	6000	1.83333	3.7858	1.06234
0.5	6000	1.77083	4.0754	1.19884
0.5	6000	1.75	4.17526	1.23249
0.5	6000	1.66667	4.62194	1.417
0.5	6000	1.64583	4.74474	1.46892
0.5	6000	1.58333	5.14352	1.62805
0.5	6000	1.5	5.76561	1.87242
0.5	6000	1.41667	6.49866	2.1387
0.5	6000	1.33333	7.37039	2.4444
0.5	6000	1.25	8.43064	2.81216
0.5	6000	1.16667	9.72716	3.21664
0.5	6000	1.14583	10.1172	3.3464
0.5	6000	1.125	10.5102	3.46866
0.5	6000	1.08333	11.3398	3.69312
0.5	6000	1.00158	13.3419	4.26238
0.5	6000	1	13.3817	4.26093
0.5	6000	0.934525	15.3796	4.79399
0.5	6000	0.916667	16.0008	4.95102
0.5	6000	0.86546	18.0021	5.4373
0.5	6000	0.833333	19.4372	5.76946
0.5	6000	0.830269	19.5617	5.81848
0.5	6000	0.792163	21.5665	6.26192
0.5	6000	0.758346	23.5636	6.69916
0.5	6000	0.75	24.1028	6.80579
0.5	6000	0.729167	25.5147	7.09995
0.5	6000	0.708333	27.0683	7.41965
0.5	6000	0.666667	30.5885	8.11661
0.5	6000	0.583333	40.0256	9.81216
0.5	6000	0.5	54.4747	12.107
0.5	6000	0.458333	64.7785	13.5626
0.5	6000	0.416667	78.2647	15.3267
0.5	6000	0.375	96.4197	17.4766
0.53125	6000	6.80851	0.27558	-1.13014
0.53125	6000	5.70391	0.388834	-1.01056
0.53125	6000	3.59866	0.973533	-0.463281
0.53125	6000	2.46809	2.10455	0.331493
0.53125	6000	2.44681	2.14081	0.350976
0.53125	6000	1.75144	4.30553	1.40558
0.53125	6000	1.43436	6.53982	2.28761
0.53125	6000	1.24338	8.81025	3.07618
0.53125	6000	1.11238	11.0897	3.78082
0.53125	6000	1.01539	13.3919	4.43157
0.53125	6000	0.93987	15.7004	5.05703
0.53125	6000	0.878923	18.0109	5.62696
0.53125	6000	0.8284	20.3249	6.17553
0.53125	6000	0.785636	22.6465	6.70277
0.53125	6000	0.74883	24.9595	7.20184
0.5625	6000	6.95652	0.275502	-1.04035
0.5625	6000	5.6137	0.412429	-0.889284
0.5625	6000	3.71013	0.940592	-0.378007
0.5625	6000	2.52174	2.08564	0.415925
0.5625	6000	2.5	2.12031	0.439504
0.5625	6000	1.76352	4.38937	1.56308
0.5625	6000	1.43257	6.78336	2.52582
0.5625	6000	1.23485	9.23049	3.35724
0.5625	6000	1.09998	11.7357	4.14162
0.5625	6000	1.00057	14.2655	4.8508
0.5625	6000	0.923428	16.8244	5.5198
0.5625	6000	0.861361	19.3959	6.16705
0.5625	6000	0.810037	21.9902	6.76853
0.5625	6000	0.766691	24.5869	7.34241
0.5625	6000	0.729461	27.2019	7.8928
0.59375	6000	7.11111	0.270619	-0.972699
0.59375	6000	5.8878	0.386138	-0.840191
0.59375	6000	3.62793	1.02102	-0.241691
0.59375	6000	2.55556	2.09705	0.525351
0.59375	6000	2.53333	2.13622	0.54643
0.59375	6000	1.85314	4.09984	1.55648
0.59375	6000	1.53764	6.05956	2.3877
0.59375	6000	1.34549	7.99138	3.09588
0.59375	6000	1.2126	9.92591	3.74094
0.59375	6000	1.11355	11.8343	4.3391
0.59375	6000	1.03601	13.7439	4.8866
0.59375	6000	0.973131	15.6296	5.39905
0.59375	6000	0.920789	17.5031	5.89329
0.59375	6000	0.876322	19.3693	6.36046
0.59375	6000	0.837924	21.2243	6.79716
0.625	6000	7.27273	0.261092	-0.813299
0.625	6000	5.7798	0.413007	-0.69038
0.625	6000	3.7402	0.99112	-0.162265
0.625	6000	2.59091	2.11132	0.635487
0.625	6000	2.56818	2.15236	0.658416
0.625	6000	2	3.62026	1.45083
0.625	6000	1.90909	3.99308	1.63466
0.625	6000	1.88636	4.09299	1.69803
0.625	6000	1.86364	4.19491	1.73257
0.625	6000	1.81818	4.41726	1.82944
0.625	6000	1.79545	4.53329	1.88227
0.625	6000	1.72727	4.91573	2.0475
0.625	6000	1.63636	5.5024	2.29895
0.625	6000	1.54545	6.2029	2.58827
0.625	6000	1.45455	7.0392	2.90067
0.625	6000	1.36364	8.05632	3.27774
0.625	6000	1.27273	9.29314	3.69879
0.625	6000	1.22727	10.0292	3.95633
0.625	6000	1.20455	10.4306	4.09172
0.625	6000	1.18182	10.8472	4.21347
0.625	6000	1.09091	12.7878	4.79106
0.625	6000	1.01686	14.7885	5.36913
0.625	6000	1	15.3077	5.51337
0.625	6000	0.941898	17.2996	6.03986
0.625	6000	0.909091	18.6055	6.3791
0.625	6000	0.864968	20.5867	6.85948
0.625	6000	0.82658	22.6024	7.33749
0.625	6000	0.818182	23.0598	7.44105
0.625	6000	0.795455	24.471	7.79494
0.625	6000	0.772727	25.9209	8.07852
0.625	6000	0.727273	29.3202	8.80411
0.625	6000	0.681818	33.3944	9.64398
0.625	6000	0.636364	38.4075	10.58
0.625	6000	0.545455	52.3294	12.9693
0.625	6000	0.5	62.2554	14.5033
0.625	6000	0.454545	75.2633	16.3612
0.625	6000	0.409091	92.7761	18.6227
0.65625	6000	7.44186	0.261336	-0.776085
0.65625	6000	5.92351	0.405792	-0.596834
0.65625	6000	3.71593	1.03699	-0.0102999
0.65625	6000	2.65116	2.08579	0.729714
0.65625	6000	2.62791	2.12619	0.755872
0.65625	6000	1.93805	4.00914	1.76292
0.65625	6000	1.61635	5.8534	2.58293
0.65625	6000	1.41966	7.67221	3.28746
0.65625	6000	1.28321	9.46344	3.91577
0.65625	6000	1.18126	11.2422	4.50709
0.65625	6000	1.10128	12.995	5.04154
0.65625	6000	1.0363	14.7325	5.55596
0.65625	6000	0.982126	16.451	6.01649
0.65625	6000	0.936033	18.1688	6.47067
0.65625	6000	0.896177	19.8614	6.89708
0.6875	6000	7.61905	0.257813	-0.660437
0.6875	6000	6.17621	0.381773	-0.50279
0.6875	6000	3.82233	1.01239	0.0715493
0.6875	6000	2.69048	2.09515	0.853606
0.6875	6000	2.66667	2.13474	0.870801
0.6875	6000	1.94833	4.1177	1.94233
0.6875	6000	1.61553	6.07947	2.82427
0.6875	6000	1.41297	8.03697	3.58435
0.6875	6000	1.27294	9.99201	4.27262
0.6875	6000	1.16862	11.9222	4.90202
0.6875	6000	1.08697	13.8562	5.48997
0.6875	6000	1.02078	15.7648	6.02725
0.6875	6000	0.965688	17.6609	6.55764
0.6875	6000	0.918895	19.5737	7.04171
0.6875	6000	0.878498	21.4659	7.52397
0.71875	6000	7.80488	0.254996	-0.557831
0.75	6000	8	0.246684	-0.404637
0.75	6000	6.13945	0.408894	-0.210002
0.75	6000	3.97983	0.990649	0.303985
0.75	6000	2.8	2.07076	1.09299
0.75	6000	2.775	2.10481	1.12576
0.75	6000	2.2	3.43118	1.86782
0.75	6000	2.1	3.78492	2.05326
0.75	6000	2.025	4.08726	2.23635
0.75	6000	2	4.19521	2.26404
0.75	6000	1.925	4.54783	2.43388
0.75	6000	1.9	4.66832	2.4934
0.75	6000	1.8	5.23545	2.75413
0.75	6000	1.7	5.9023	3.05689
0.75	6000	1.6	6.69631	3.38884
0.75	6000	1.5	7.66293	3.77409
0.75	6000	1.4	8.85296	4.22886
0.75	6000	1.325	9.9275	4.60904
0.75	6000	1.3	10.3309	4.75258
0.75	6000	1.2	12.1945	5.37803
0.75	6000	1.11509	14.1886	5.98867
0.75	6000	1.1	14.5962	6.10852
0.75	6000	1.03366	16.581	6.68697
0.75	6000	1	17.7622	7.01907
0.75	6000	0.94944	19.7615	7.55256
0.75	6000	0.905798	21.7628	8.07683
0.75	6000	0.9	22.0392	8.1483
0.75	6000	0.875	23.3688	8.4749
0.75	6000	0.85	24.7887	8.81955
0.75	6000	0.8	28.044	9.58271
0.75	6000	0.75	31.973	10.4411
0.75	6000	0.7	36.795	11.4413
0.75	6000	0.6	50.185	13.942
0.75	6000	0.55	59.7441	15.5507
0.75	6000	0.5	72.3126	17.5222
0.75	6000	0.45	89.1728	19.9102
0.78125	6000	8.20513	0.241261	-0.277685
0.78125	6000	6.63974	0.359178	-0.134262
0.78125	6000	3.91567	1.06118	0.505579
0.78125	6000	2.84615	2.07255	1.23204
0.78125	6000	2.82051	2.11453	1.25722
0.78125	6000	2.10756	3.91188	2.27244
0.78125	6000	1.77189	5.6296	3.08949
0.78125	6000	1.56537	7.28932	3.80065
0.78125	6000	1.4214	8.90902	4.42885
0.78125	6000	1.31341	10.5197	5.00813
0.78125	6000	1.2284	12.0751	5.53421
0.78125	6000	1.15914	13.6275	6.03717
0.78125	6000	1.10125	15.1493	6.49838
0.78125	6000	1.05188	16.6576	6.94306
0.78125	6000	1.00911	18.1494	7.35675
0.8125	6000	8.42105	0.238213	-0.140262
0.8125	6000	6.32187	0.414107	0.0525216
0.8125	6000	4.45418	0.841457	0.452486
0.8125	6000	2.89474	2.07676	1.38421
0.8125	6000	2.86842	2.11513	1.41169
0.8125	6000	2.10526	4.07032	2.54128
0.8125	6000	2.07895	4.16909	2.56815
0.8125	6000	1.74374	6.05842	3.45036
0.8125	6000	1.52173	8.05493	4.28853
0.8125	6000	1.36842	10.0608	5.07453
0.8125	6000	1.34211	10.4799	5.21191
0.8125	6000	1.23366	12.4859	5.8801
0.8125	6000	1.14844	14.4752	6.51058
0.8125	6000	1.07906	16.4627	7.11466
0.8125	6000	1.02102	18.4623	7.69208
0.8125	6000	0.971411	20.4617	8.24446
0.8125	6000	0.928237	22.4421	8.75559
0.8125	6000	0.894737	24.2221	9.21767
0.8125	6000	0.868421	25.7437	9.59023
0.84375	6000	8.64865	0.232401	-0.0121767
0.84375	6000	6.07432	0.461837	0.255324
0.84375	6000	4.11657	1.02386	0.768829
0.84375	6000	2.94595	2.07767	1.54692
0.84375	6000	2.91892	2.11994	1.57528
0.84375	6000	2.15369	4.02724	2.66667
0.84375	6000	1.797	5.9067	3.57384
0.84375	6000	1.57891	7.76795	4.37028
0.84375	6000	1.42759	9.6031	5.08927
0.84375	6000	1.31451	11.4052	5.73143
0.84375	6000	1.22578	13.1888	6.33323
0.84375	6000	1.15369	14.9518	6.90154
0.84375	6000	1.09358	16.7099	7.43673
0.84375	6000	1.04242	18.4684	7.94891
0.84375	6000	0.998186	20.1789	8.42574
0.875	6000	8.88889	0.224052	0.156366
0.875	6000	6.49797	0.415549	0.369448
0.875	6000	4.25814	0.988954	0.904579
0.875	6000	3	2.07568	1.72006
0.875	6000	2.97222	2.11709	1.7469
0.875	6000	2.44444	3.20654	2.40623
0.875	6000	2.33333	3.54091	2.59449
0.875	6000	2.22222	3.92756	2.80478
0.875	6000	2.16667	4.13798	2.94605
0.875	6000	2.13889	4.26152	3.01046
0.875	6000	2.11111	4.37983	3.03893
0.875	6000	2.08333	4.50491	3.10104
0.875	6000	2	4.91027	3.30802
0.875	6000	1.88889	5.54029	3.60758
0.875	6000	1.77778	6.30743	3.95605
0.875	6000	1.66667	7.23046	4.36196
0.875	6000	1.55556	8.36182	4.82381
0.875	6000	1.44444	9.76649	5.36586
0.875	6000	1.41667	10.1771	5.5268
0.875	6000	1.38889	10.6032	5.67741
0.875	6000	1.33333	11.5482	6.01715
0.875	6000	1.23541	13.5483	6.70114
0.875	6000	1.22222	13.8586	6.79988
0.875	6000	1.14532	15.8614	7.43873
0.875	6000	1.11111	16.8854	7.74778
0.875	6000	1.05269	18.8863	8.34247
0.875	6000	1.00259	20.8907	8.90156
0.875	6000	1	21.0051	8.93481
0.875	6000	0.957042	22.9911	9.48653
0.875	6000	0.944444	23.6091	9.63543
0.875	6000	0.916667	25.1374	10.0387
0.875	6000	0.888889	26.7583	10.4397
0.875	6000	0.833333	30.5132	11.3143
0.875	6000	0.777778	35.1354	12.3743
0.875	6000	0.666667	47.9983	14.95
0.875	6000	0.611111	57.254	16.6505
0.875	6000	0.555556	69.419	18.7413
0.875	6000	0.5	85.7943	21.3225
0.90625	6000	9.14286	0.222493	0.308378
0.90625	6000	6.58654	0.421558	0.542426
0.90625	6000	4.37914	0.965184	1.0611
0.90625	6000	3.05714	2.0734	1.90091
0.90625	6000	3.02857	2.11609	1.92819
0.90625	6000	2.22857	4.06318	3.09854
0.90625	6000	2.2	4.18284	3.15013
0.90625	6000	1.83105	6.1785	4.11724
0.90625	6000	1.60418	8.18151	4.97966
0.90625	6000	1.45714	10.0198	5.7046
0.90625	6000	1.42857	10.4458	5.85951
0.90625	6000	1.33603	12.0205	6.43216
0.90625	6000	1.24115	14.0313	7.12197
0.90625	6000	1.16419	16.0371	7.76601
0.90625	6000	1.10011	18.0284	8.37426
0.90625	6000	1.04568	20.0574	8.97507
0.90625	6000	0.998689	22.0309	9.51889
0.90625	6000	0.971429	23.3175	9.86648
0.90625	6000	0.942857	24.8	10.2669
0.9375	6000	9.41176	0.215466	0.483243
0.9375	6000	6.95003	0.394177	0.688758
0.9375	6000	4.83659	0.82204	1.11551
