#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
0.4375	1000	6.4	0.14278	-2.38152
0.4375	1000	3.2	0.822058	-1.79029
0.4375	1000	2.18514	1.99623	-1.04799
0.4375	1000	2.13333	2.10556	-0.986515
0.4375	1000	1.82857	2.96681	-0.546399
0.4375	1000	1.60099	3.99882	-0.0720652
0.4375	1000	1.6	4.00597	-0.0777219
0.4375	1000	1.28	6.56823	0.906645
0.4375	1000	1.04183	10.3184	2.09843
0.4375	1000	0.677645	25.8518	5.77488
0.46875	1000	6.53061	0.133338	-2.30064
0.46875	1000	3.26531	0.80769	-1.70543
0.46875	1000	2.21706	1.99565	-0.948357
0.46875	1000	2.17687	2.08481	-0.900493
0.46875	1000	1.86589	2.92883	-0.462063
0.46875	1000	1.63265	3.92167	0.00626423
0.46875	1000	1.62088	4.01446	0.0470833
0.46875	1000	1.30612	6.46869	0.994716
0.46875	1000	1.04703	10.531	2.30306
0.46875	1000	0.673004	27.1837	6.19966
0.5	1000	6.66667	0.136024	-2.21156
0.5	1000	3.33333	0.780105	-1.62857
0.5	1000	2.23554	2.01026	-0.836646
0.5	1000	2.22222	2.04494	-0.818191
0.5	1000	1.90476	2.90029	-0.364944
0.5	1000	1.66667	3.85459	0.089467
0.5	1000	1.64672	3.99232	0.143446
0.5	1000	1.33333	6.37536	1.08319
0.5	1000	1.08286	10.1071	2.31484
0.5	1000	0.713962	24.7262	5.91869
0.53125	1000	6.80851	0.122725	-2.11472
0.53125	1000	3.40426	0.766788	-1.53994
0.53125	1000	2.2695	2.00254	-0.736925
0.53125	1000	1.94529	2.83341	-0.290705
0.53125	1000	1.70213	3.84817	0.194729
0.53125	1000	1.3617	6.33147	1.20415
0.5625	1000	6.95652	0.121839	-2.01469
0.5625	1000	3.47826	0.751118	-1.44525
0.5625	1000	2.31884	1.96491	-0.642495
0.5625	1000	2.30598	1.99177	-0.625454
0.5625	1000	1.98758	2.78998	-0.196441
0.5625	1000	1.73913	3.78758	0.295241
0.5625	1000	1.69669	3.98131	0.385595
0.5625	1000	1.3913	6.20962	1.29347
0.5625	1000	1.10823	10.3164	2.68896
0.5625	1000	0.721974	25.9459	6.58374
0.59375	1000	7.11111	0.116593	-1.91271
0.59375	1000	3.55556	0.736137	-1.34718
0.59375	1000	2.37037	1.93437	-0.537917
0.59375	1000	2.33656	2.00358	-0.50286
0.59375	1000	2.03175	2.74745	-0.100504
0.59375	1000	1.77778	3.6924	0.379882
0.59375	1000	1.71505	3.99787	0.521052
0.59375	1000	1.42222	6.11551	1.4
0.59375	1000	1.11394	10.5346	2.9016
0.59375	1000	0.719912	26.9761	7.03552
0.625	1000	7.27273	0.114543	-1.80039
0.625	1000	3.63636	0.70348	-1.27177
0.625	1000	2.42424	1.89394	-0.450718
0.625	1000	2.36148	2.00559	-0.378316
0.625	1000	2.07792	2.69759	0.00466934
0.625	1000	1.81818	3.66729	0.49051
0.625	1000	1.7502	4.00014	0.645121
0.625	1000	1.45455	6.06238	1.5143
0.625	1000	1.15906	10.0364	2.91148
0.625	1000	0.768502	24.4067	6.70783
0.65625	1000	7.44186	0.111026	-1.69065
0.65625	1000	3.72093	0.705568	-1.13067
0.65625	1000	2.48062	1.86402	-0.336078
0.65625	1000	2.12625	2.66305	0.116545
0.65625	1000	1.86047	3.61986	0.616246
0.65625	1000	1.48837	5.96589	1.62697
0.6875	1000	7.61905	0.107224	-1.57461
0.6875	1000	3.80952	0.689667	-1.02106
0.6875	1000	2.53968	1.82136	-0.224677
0.6875	1000	2.44949	1.9876	-0.121389
0.6875	1000	2.17687	2.61983	0.238945
0.6875	1000	1.90476	3.55037	0.721994
0.6875	1000	1.80544	4.02233	0.94501
0.6875	1000	1.52381	5.89096	1.75623
0.6875	1000	1.18081	10.415	3.40265
0.6875	1000	0.769372	26.3054	7.60126
0.71875	1000	7.80488	0.104788	-1.44987
0.71875	1000	3.90244	0.66926	-0.903461
0.71875	1000	2.60163	1.78005	-0.114449
0.71875	1000	2.22997	2.54283	0.315259
0.71875	1000	1.95122	3.4973	0.839542
0.71875	1000	1.56098	5.79281	1.88512
0.75	1000	8	0.0940194	-1.32031
0.75	1000	4	0.648171	-0.780753
0.75	1000	2.66667	1.74087	0.00689797
0.75	1000	2.52834	1.9638	0.147502
0.75	1000	2.28571	2.50659	0.462149
0.75	1000	2	3.43517	0.972359
0.75	1000	1.86921	4.00143	1.24171
0.75	1000	1.6	5.6946	2.01033
0.75	1000	1.22511	10.3925	3.77608
0.75	1000	0.798265	26.4058	8.12679
0.78125	1000	8.20513	0.091204	-1.17473
0.78125	1000	4.10256	0.639658	-0.648152
0.78125	1000	2.73504	1.70626	0.140474
