0.688, 2.202
0.705, 2.319
0.714, 2.429
0.724, 2.533
0.729, 2.625
0.734, 2.719
0.736, 2.859
0.741, 3.131
0.746, 3.332
0.755, 3.598
0.755, 3.492
0.761, 3.704
0.764, 3.841
0.766, 3.959
0.778, 4.165
0.792, 4.327
0.812, 4.479
0.838, 4.594
0.861, 4.702
0.894, 4.817
0.918, 4.907
0.959, 5.050
1.010, 5.175
1.069, 5.270
1.125, 5.352
1.183, 5.461
1.236, 5.544
1.295, 5.659
1.352, 5.744
1.410, 5.842
1.464, 5.943
1.521, 6.024
1.578, 6.105
1.634, 6.174
1.691, 6.239
1.748, 6.305
1.805, 6.369
1.861, 6.429
1.918, 6.491
1.975, 6.554
2.032, 6.608
2.088, 6.652
2.145, 6.696
2.202, 6.738
2.259, 6.782
2.315, 6.824
2.372, 6.858
2.429, 6.889
2.485, 6.921
2.542, 6.955
2.599, 6.990
2.656, 7.027
2.712, 7.058
2.769, 7.080
2.826, 7.106
2.883, 7.131
2.939, 7.157
2.996, 7.178
3.053, 7.203
3.110, 7.228
3.166, 7.252
3.223, 7.280
3.280, 7.306
3.337, 7.331
3.393, 7.340
3.450, 7.351
3.507, 7.380
3.563, 7.408
3.621, 7.430
3.676, 7.450
3.733, 7.476
3.790, 7.491
3.846, 7.509
3.904, 7.529
3.970, 7.543
4.007, 7.546
4.074, 7.582
4.131, 7.596
4.188, 7.612
4.244, 7.626
4.301, 7.639
4.358, 7.653
4.415, 7.669
4.471, 7.681
4.528, 7.697
4.585, 7.709
4.641, 7.725
4.698, 7.737
4.755, 7.747
4.812, 7.755
4.868, 7.765
4.925, 7.775
4.972, 7.781
